Symbol,Company,Price,change,Percent Change,Market Cap
CRWD,"CrowdStrike Holdings, Inc.",54.20,+0.43,+0.80%,1.03M
DDOG,"Datadog, Inc.",41.04,+1.01,+2.52%,2.672M
GDDY,GoDaddy Inc.,69.10,+0.35,+0.51%,1.019M
QRVO,"Qorvo, Inc.",101.72,+0.82,+0.81%,1.138M
OTEX,Open Text Corporation,43.03,-0.12,-0.28%,"334,678"
WORK,"Slack Technologies, Inc.",21.17,+0.17,+0.81%,4.373M
JKHY,"Jack Henry & Associates, Inc.",149.45,+0.59,+0.40%,"354,673"
STNE,StoneCo Ltd.,41.39,+7.04,+20.49%,10.691M
EPAM,"EPAM Systems, Inc.",205.15,-0.36,-0.18%,"338,809"
TYL,"Tyler Technologies, Inc.",287.11,+0.21,+0.07%,"230,090"
PAGS,PagSeguro Digital Ltd.,32.77,+1.76,+5.68%,3.603M
TER,"Teradyne, Inc.",61.96,+0.18,+0.29%,1.724M
FICO,Fair Isaac Corporation,355.69,+0.33,+0.09%,"126,060"
GWRE,"Guidewire Software, Inc.",119.42,+0.84,+0.71%,"577,839"
TRMB,Trimble Inc.,39.37,+0.03,+0.08%,"857,346"
COUP,Coupa Software Incorporated,148.62,-0.47,-0.32%,"748,968"
DOX,Amdocs Limited,68.45,+0.10,+0.15%,"507,714"
NICE,NICE Ltd.,148.49,+0.83,+0.56%,"657,190"
DXC,DXC Technology Company,35.84,+0.23,+0.65%,1.97M
BKI,"Black Knight, Inc.",61.29,+0.03,+0.05%,1.247M
OLED,Universal Display Corporation,192.90,-4.75,-2.40%,"474,671"
ZEN,"Zendesk, Inc.",78.90,+0.09,+0.11%,1.51M
FFIV,"F5 Networks, Inc.",142.84,+0.24,+0.17%,"367,801"
PTC,PTC Inc.,75.14,+0.06,+0.08%,"998,193"
CY,Cypress Semiconductor Corporation,23.41,+0.04,+0.17%,3.239M
ON,ON Semiconductor Corporation,20.81,+0.04,+0.19%,2.352M
WEX,WEX Inc.,197.00,+0.39,+0.20%,"250,679"
JNPR,"Juniper Networks, Inc.",25.46,+0.14,+0.55%,2.229M
CGNX,Cognex Corporation,49.58,-0.57,-1.14%,"516,716"
XRX,Xerox Holdings Corporation,39.06,+0.37,+0.96%,1.526M
CDAY,Ceridian HCM Holding Inc.,58.37,+0.80,+1.39%,1.108M
EEFT,"Euronet Worldwide, Inc.",154.59,+0.24,+0.16%,"243,671"
AZPN,"Aspen Technology, Inc.",119.78,-0.51,-0.42%,"278,104"
ST,Sensata Technologies Holding plc,51.16,+0.17,+0.33%,"661,663"
ZAYO,"Zayo Group Holdings, Inc.",34.30,-0.01,-0.03%,1.805M
DBX,"Dropbox, Inc.",18.98,+0.46,+2.48%,2.86M
G,Genpact Limited,39.72,-0.68,-1.68%,6.046M
IPGP,IPG Photonics Corporation,139.42,+0.89,+0.64%,"244,708"
LOGI,Logitech International S.A.,42.61,-0.18,-0.42%,"54,203"
FLIR,"FLIR Systems, Inc.",53.22,+0.12,+0.23%,"388,022"
PLAN,"Anaplan, Inc.",53.24,+0.15,+0.28%,7.99M
MPWR,"Monolithic Power Systems, Inc.",157.98,-0.48,-0.30%,"183,141"
AYX,"Alteryx, Inc.",105.36,+2.12,+2.05%,1.13M
